instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;368387;8;5497;5557.685;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;368387;9;5497;5557.685;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;687619;7;5497;5559.06;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;687619;8;5497;5559.06;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;687619;9;5497;5556.9975;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;354135;7;5499;5554.0275;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;354135;8;5499;5554.0275;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;354135;9;5499;5554.0275;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;839113;7;5495;5550.335;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;839113;8;5495;5550.335;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;839113;9;5495;5550.335;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;123452;7;5499;5560.7975;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;123452;8;5495;5561.6975;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;123452;9;5499;5559.5975;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;4354512;7;5495;5550.3725;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;4354512;8;5495;5547.1475;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;4354512;9;5497;5547.1475;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;12345;7;5808;5867.775;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;12345;8;5808;5867.775;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;12345;9;5809;5856.22;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;435451;7;5832;5896.2;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;435451;8;5832;5896.2;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;435451;9;5825;5871.9575;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;56162;7;5801;5850.445;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;56162;8;5801;5850.445;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;56162;9;5801;5850.445;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;68813;7;5815;5869.5525;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;68813;8;5815;5869.5525;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;68813;9;5808;5851.2375;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;368387;7;5822;5882.2475;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;368387;8;5822;5882.2475;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;368387;9;5814;5866.545;;;;;;;;;;
